Mean,Kurtosis,Date,Ligand,Cell,Time,Skew,Variance,Dose
0.0,0.7884843349456787,2019-3-19,IL2,Mem Treg,2.0,1.5706031322479248,75734872.0,0.001423
185.5478515625,-1.6000100374221802,2019-3-19,IL2,Mem Treg,2.0,-0.053019165992736816,17297282.0,0.000474
18674.173828125,54.65213394165039,2019-3-19,IL2,Naive Treg,2.0,3.182217836380005,641085184.0,84.0
19169.46875,1.9171113967895508,2019-3-19,IL2,Naive Treg,2.0,1.417936086654663,634405952.0,28.0
21171.875,0.13864779472351074,2019-3-19,IL2,Naive Treg,2.0,0.6659827828407288,418159808.0,9.333333
20103.052734375,0.11568498611450195,2019-3-19,IL2,Naive Treg,2.0,0.35320624709129333,251423584.0,3.111
7234.26806640625,0.543982982635498,2019-3-19,IL2,Naive Treg,2.0,0.9346714615821838,46254104.0,1.037037
3612.80224609375,54.44243240356445,2019-3-19,IL2,Naive Treg,2.0,6.510073661804199,74160224.0,0.345679
1426.10205078125,37.79557800292969,2019-3-19,IL2,Naive Treg,2.0,5.554097652435303,36754288.0,0.115226
456.7412109375,17.162002563476562,2019-3-19,IL2,Naive Treg,2.0,2.761122703552246,5169411.5,0.038409
348.18701171875,66.1454849243164,2019-3-19,IL2,Naive Treg,2.0,5.427941799163818,5710044.0,0.012803
221.28955078125,117.05985260009766,2019-3-19,IL2,Naive Treg,2.0,8.122541427612305,6791902.5,0.004268
0.0,59.602874755859375,2019-3-19,IL2,Naive Treg,2.0,6.081313133239746,6729507.0,0.001423
523.16943359375,26.161819458007812,2019-3-19,IL2,Naive Treg,2.0,4.295587062835693,7878606.0,0.000474
21950.958984375,2.597928524017334,2019-3-19,IL2,T-helper,2.0,1.3117425441741943,736669248.0,84.0
21662.759765625,0.6077175140380859,2019-3-19,IL2,T-helper,2.0,1.11146879196167,643630208.0,28.0
16014.7890625,2.194032669067383,2019-3-19,IL2,T-helper,2.0,1.4683823585510254,497016960.0,9.333333
16433.23828125,0.5147604942321777,2019-3-19,IL2,T-helper,2.0,0.8775075078010559,280849856.0,3.111
5106.70263671875,8.430265426635742,2019-3-19,IL2,T-helper,2.0,2.7317545413970947,103973600.0,1.037037
4260.7353515625,24.2308406829834,2019-3-19,IL2,T-helper,2.0,4.472083568572998,194499840.0,0.345679
1252.0869140625,39.057159423828125,2019-3-19,IL2,T-helper,2.0,5.666839122772217,42312048.0,0.115226
193.696533203125,32.52642822265625,2019-3-19,IL2,T-helper,2.0,5.180613040924072,11129800.0,0.038409
0.0,15.366111755371094,2019-3-19,IL2,T-helper,2.0,3.378211736679077,6274221.5,0.012803
45.40087890625,14.488346099853516,2019-3-19,IL2,T-helper,2.0,2.8636441230773926,3555244.5,0.004268
49.642578125,12.96147632598877,2019-3-19,IL2,T-helper,2.0,3.2205605506896973,6293340.5,0.001423
258.58251953125,2.80047607421875,2019-3-19,IL2,T-helper,2.0,1.7012767791748047,6393180.0,0.000474
44440.1953125,-0.7875576019287109,2019-3-19,IL2,Mem Th,2.0,0.26169660687446594,1078388736.0,84.0
42055.3359375,-0.9879562854766846,2019-3-19,IL2,Mem Th,2.0,0.20305922627449036,1004720128.0,28.0
35814.4765625,-0.375795841217041,2019-3-19,IL2,Mem Th,2.0,0.6550588011741638,1148212608.0,9.333333
19888.369140625,-0.0861973762512207,2019-3-19,IL2,Mem Th,2.0,1.110653042793274,654246528.0,3.111
12941.904296875,1.1591081619262695,2019-3-19,IL2,Mem Th,2.0,1.5512738227844238,297785024.0,1.037037
21335.76171875,2.512836456298828,2019-3-19,IL2,Mem Th,2.0,1.6033351421356201,774492800.0,0.345679
8081.42626953125,4.892480373382568,2019-3-19,IL2,Mem Th,2.0,2.3431217670440674,208857184.0,0.115226
2122.65380859375,4.058877944946289,2019-3-19,IL2,Mem Th,2.0,2.3472630977630615,33629576.0,0.038409
11.32763671875,13.881649017333984,2019-3-19,IL2,Mem Th,2.0,3.7323079109191895,5116462.0,0.012803
0.0,-0.7641088962554932,2019-3-19,IL2,Mem Th,2.0,-0.3854397237300873,765468.0625,0.004268
251.15380859375,-0.692755937576294,2019-3-19,IL2,Mem Th,2.0,0.968137264251709,3090808.0,0.001423
2017.65380859375,-0.3683357238769531,2019-3-19,IL2,Mem Th,2.0,0.9186474084854126,11381086.0,0.000474
18925.8671875,4.301025390625,2019-3-19,IL2,Naive Th,2.0,1.505582332611084,618922944.0,84.0
19404.173828125,0.9690961837768555,2019-3-19,IL2,Naive Th,2.0,1.1980561017990112,557096576.0,28.0
13381.3916015625,0.6139631271362305,2019-3-19,IL2,Naive Th,2.0,1.214232087135315,355469376.0,9.333333
15981.6103515625,-0.8085763454437256,2019-3-19,IL2,Naive Th,2.0,0.47887545824050903,227072224.0,3.111
3863.031494140625,6.455263137817383,2019-3-19,IL2,Naive Th,2.0,2.4127113819122314,62583568.0,1.037037
1508.615966796875,37.78718948364258,2019-3-19,IL2,Naive Th,2.0,5.793734550476074,49391928.0,0.345679
284.035400390625,33.82475662231445,2019-3-19,IL2,Naive Th,2.0,4.990939140319824,11855882.0,0.115226
0.0,46.92485427856445,2019-3-19,IL2,Naive Th,2.0,6.05592155456543,8875134.0,0.038409
38.57470703125,16.06983184814453,2019-3-19,IL2,Naive Th,2.0,3.441246747970581,6280300.5,0.012803
82.53759765625,13.761707305908203,2019-3-19,IL2,Naive Th,2.0,2.8343615531921387,3765439.25,0.004268
50.901123046875,12.72453498840332,2019-3-19,IL2,Naive Th,2.0,3.2761476039886475,6621980.5,0.001423
47.878173828125,3.7542858123779297,2019-3-19,IL2,Naive Th,2.0,1.8480494022369385,5602578.5,0.000474
18925.8671875,4.301025390625,2019-3-19,IL2,Tcells,1.0,1.505582332611084,618922944.0,84.0
19404.173828125,0.9690961837768555,2019-3-19,IL2,Tcells,1.0,1.1980561017990112,557096576.0,28.0
13381.3916015625,0.6139631271362305,2019-3-19,IL2,Tcells,1.0,1.214232087135315,355469376.0,9.333333
15981.6103515625,-0.8085763454437256,2019-3-19,IL2,Tcells,1.0,0.47887545824050903,227072224.0,3.111
3863.031494140625,6.455263137817383,2019-3-19,IL2,Tcells,1.0,2.4127113819122314,62583568.0,1.037037
